  PID TTY      STAT   TIME COMMAND
 7833 tty2     Sl+    0:12 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 6349 -prefMapSize 204803 -parentBuildID 20191031085722 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 7700 true tab
 7882 tty2     Sl+    0:26 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 7081 -prefMapSize 204803 -parentBuildID 20191031085722 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 7700 true tab
 7909 tty2     Sl+    0:00 /usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 7392 -prefMapSize 204803 -parentBuildID 20191031085722 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 7700 true tab
 8025 ?        D      0:00 [kworker/u8:0+ev]
 8106 ?        I<     0:00 [kworker/u9:0-MW]
 8193 ?        I<     0:00 [kworker/u9:3-MW]
 8217 pts/0    R+     0:00 ps ax
16592 ?        Ss     0:00 /usr/sbin/cupsd -l
16593 ?        Ssl    0:00 /usr/sbin/cups-browsed
28862 ?        I      0:00 [kworker/2:5-eve]
28967 ?        I      0:00 [kworker/3:0-cgr]
28969 ?        I      0:01 [kworker/3:4-mm_]
29802 ?        Ssl    0:00 /usr/bin/whoopsie -f
